neighborhood_id,name,district,speed_peak,speed_offpeak,speed_blended
95,BAHÇEKÖY KEMER,SARIYER,30.63,36.47,33.08
96,BAHÇEKÖY MERKEZ,SARIYER,20.74,25.73,22.9
97,BAHÇEKÖY YENİMAHALLE,SARIYER,28.54,32.38,30.18
98,BAHÇELİEVLER,BAHÇELİEVLER,26.07,39.59,31.7
99,BAHÇELİEVLER,BÜYÜKÇEKMECE,75.47,77.63,77.33
100,BAHÇELİEVLER,PENDİK,32.2,70.6,49.03
101,BAHÇEŞEHİR 1. KISIM,BAŞAKŞEHİR,32.33,46.33,38.47
102,BAHÇEŞEHİR 2. KISIM,BAŞAKŞEHİR,35.11,45.42,39.54
103,BAHŞAYİŞ,ÇATALCA,89.98,90.39,91.05
104,BAKLACI,BEYKOZ,87.83,98.77,91.11
105,BAKLALI,ARNAVUTKÖY,90.24,85.57,88.2
106,BALABAN,ARNAVUTKÖY,86.89,83.47,85.41
107,BALAT,FATİH,21.8,36.82,28.12
108,BALIKYOLU,ESENYURT,50.24,75.67,62.51
109,BALLICA,PENDİK,53.76,53.25,53.37
110,BALMUMCU,BEŞİKTAŞ,25.57,54.09,38.7
111,BALTALİMANI,SARIYER,41.8,59.58,50.86
112,BALİBEY,ŞİLE,66.8,65.18,66.34
113,BARBAROS,ATAŞEHİR,24.03,31.88,27.7
114,BARBAROS,BAĞCILAR,18.77,28.52,22.82
115,BARBAROS,ÜSKÜDAR,22.44,36.02,27.63
116,BARBAROS HAYRETTİN PAŞA,ESENYURT,37.99,59.03,48.73
117,BARBAROS HAYRETTİN PAŞA,GAZİOSMANPAŞA,19.63,27.58,22.97
118,BARIŞ,BEYLİKDÜZÜ,38.2,62.66,50.07
119,BASINKÖY,BAKIRKÖY,24.74,41.42,33.65
120,BATI,PENDİK,31.97,43.96,38.43
121,BATTALGAZİ,ESENYURT,45.64,58.68,52.9
122,BATTALGAZİ,SULTANBEYLİ,54.54,82.38,67.04
123,BAĞLAR,BAĞCILAR,17.28,27.18,21.33
124,BAĞLARBAŞI,GAZİOSMANPAŞA,21.31,27.13,23.52
125,BAĞLARBAŞI,MALTEPE,24.79,34.33,29.18
126,BAĞLARÇEŞME,ESENYURT,23.24,44.64,31.84
127,BAŞAK,BAŞAKŞEHİR,60.51,65.82,63.03
128,BAŞAK,ÇATALCA,53.14,60.21,56.45
129,BAŞAKŞEHİR,BAŞAKŞEHİR,38.94,50.89,45.49
130,BAŞIBÜYÜK,MALTEPE,32.86,33.46,33.38
131,BEBEK,BEŞİKTAŞ,21.01,30.83,25.01
132,BEDRETTİN,BEYOĞLU,23.1,34.0,28.25
133,BEKİRLİ,SİLİVRİ,53.14,60.21,56.45
134,BELGRAT,ÇATALCA,53.14,60.21,56.45
135,BEREKETZADE,BEYOĞLU,19.19,30.68,24.76
136,BEYAZIT,FATİH,22.58,27.02,25.61
137,BEYCİLER,SİLİVRİ,82.57,81.7,82.74
138,BEYLERBEYİ,ÜSKÜDAR,30.26,59.21,40.05
139,BEŞTELSİZ,ZEYTİNBURNU,19.41,29.25,23.85
140,BEŞYOL,KÜÇÜKÇEKMECE,34.02,57.02,44.25
141,BIÇKIDERE,ŞİLE,53.14,60.21,56.45
142,BOLLUCA,ARNAVUTKÖY,31.95,33.2,32.87
143,BOSTAN,BEYOĞLU,20.85,29.74,25.13
144,BOSTANCI,KADIKÖY,25.15,37.88,30.86
145,BOYALIK,ARNAVUTKÖY,81.69,78.43,80.38
146,BOZGOCA,ŞİLE,53.14,60.21,56.45
147,BOZHANE,BEYKOZ,96.09,84.27,90.84
148,BOZKURT,ŞİŞLİ,20.89,28.69,24.36
149,BOĞAZKÖY İSTİKLAL,ARNAVUTKÖY,47.96,55.7,50.96
150,BUCAKLI,ŞİLE,53.14,60.21,56.45
151,BULGURLU,ÜSKÜDAR,21.92,32.55,26.47
152,BURGAZADA,ADALAR,53.14,60.21,56.45
153,BURHANİYE,ÜSKÜDAR,27.27,34.75,30.49
154,BÜLBÜL,BEYOĞLU,20.57,28.13,24.37
155,BÜYÜK KILIÇLI,SİLİVRİ,94.29,87.05,91.39
156,BÜYÜK SİNEKLİ,SİLİVRİ,53.14,60.21,56.45
157,BÜYÜK ÇAVUŞLU,SİLİVRİ,81.03,81.78,81.73
158,BÜYÜKBAKKALKÖY,MALTEPE,41.7,43.21,42.58
159,BÜYÜKDERE,SARIYER,29.03,32.3,30.54
160,BÜYÜKŞEHİR,BEYLİKDÜZÜ,41.57,63.01,52.11
161,BİNBİRDİREK,FATİH,18.33,21.43,19.63
162,BİRLİK,ESENLER,33.58,48.53,39.62
163,CADDEBOSTAN,KADIKÖY,21.22,32.44,26.06
164,CAFERAĞA,KADIKÖY,15.31,18.64,16.82
165,CAMİ,TUZLA,34.97,38.28,37.04
166,CAMİİKEBİR,BEYOĞLU,24.62,37.84,30.61
167,CANKURTARAN,FATİH,39.49,44.25,41.7
168,CEBECİ,SULTANGAZİ,34.54,41.22,37.55
169,CELALİYE,BÜYÜKÇEKMECE,77.26,81.11,79.46
170,CELEPKÖY,ÇATALCA,53.14,60.21,56.45
171,CEMİL MERİÇ,ÜMRANİYE,22.22,29.86,25.24
172,CENNET,KÜÇÜKÇEKMECE,29.16,48.47,38.19
173,CERRAHPAŞA,FATİH,24.43,37.08,31.99
174,CEVATPAŞA,BAYRAMPAŞA,31.92,44.58,37.21
175,CEVİZLİ,KARTAL,20.14,28.87,23.4
176,CEVİZLİ,MALTEPE,28.24,52.75,38.3
177,CEVİZLİK,BAKIRKÖY,27.12,38.69,34.33
178,CUMHURİYET,BAHÇELİEVLER,14.74,21.44,17.23
179,CUMHURİYET,BEYKOZ,97.57,87.1,92.7
180,CUMHURİYET,BEYLİKDÜZÜ,43.55,62.94,53.16
181,CUMHURİYET,BÜYÜKÇEKMECE,29.59,49.79,40.21
182,CUMHURİYET,ESENYURT,43.55,62.94,53.16
183,CUMHURİYET,KARTAL,42.13,69.7,54.62
184,CUMHURİYET,SARIYER,50.68,57.47,52.16
185,CUMHURİYET,SULTANGAZİ,42.26,58.36,50.85
186,CUMHURİYET,ÇEKMEKÖY,47.89,63.26,54.98
187,CUMHURİYET,ÜSKÜDAR,22.4,35.5,28.2
188,CUMHURİYET,ŞİŞLİ,25.61,35.02,29.76
189,CİBALİ,FATİH,25.65,40.02,32.08
190,CİHANGİR,AVCILAR,32.31,44.99,36.89
191,CİHANGİR,BEYOĞLU,19.93,29.52,24.63
192,CİHANNÜMA,BEŞİKTAŞ,17.66,28.18,22.26
193,DANAMANDIRA,SİLİVRİ,53.14,60.21,56.45
194,DARLIK,ŞİLE,53.14,60.21,56.45
195,DARÜŞŞAFAKA,SARIYER,35.54,39.19,37.15
196,DAĞYENİCE,ÇATALCA,74.93,76.74,75.41
197,DEFTERDAR,EYÜPSULTAN,28.73,50.52,37.84
198,DELİKLİKAYA,ARNAVUTKÖY,48.85,62.59,54.87
199,DEMİRCİKÖY,SARIYER,78.09,71.85,75.57
200,DEMİRKAPI,BAĞCILAR,17.1,28.31,21.8
201,DEMİRTAŞ,FATİH,20.38,33.09,26.19
202,DENİZKÖŞKLER,AVCILAR,34.37,58.56,43.38
203,DEREAĞZI,BEYLİKDÜZÜ,25.23,35.52,29.31
204,DERESEKİ,BEYKOZ,56.69,54.21,56.64
205,DERVİŞ ALİ,FATİH,21.77,40.64,29.76
206,DEĞİRMENKÖY FEVZİPAŞA,SİLİVRİ,64.25,70.99,66.91
207,DEĞİRMENÇAYIRI,ŞİLE,53.14,60.21,56.45
208,DOĞANCILI,ŞİLE,53.14,60.21,56.45
209,DOĞU,PENDİK,29.06,48.17,37.44
210,DUATEPE,ŞİŞLİ,24.88,33.12,28.61
211,DUMLUPINAR,PENDİK,25.65,42.81,32.67
212,DUMLUPINAR,ÜMRANİYE,27.05,31.16,28.83
213,DURSUNKÖY,ARNAVUTKÖY,61.17,64.16,62.22
214,DURUSU,ARNAVUTKÖY,80.3,78.48,79.04
215,DİKİLİTAŞ,BEŞİKTAŞ,21.28,30.51,25.66
216,DİZDARİYE,BÜYÜKÇEKMECE,53.59,70.77,63.48
217,EKİNOBA,BÜYÜKÇEKMECE,53.22,70.09,62.44
218,EKŞİOĞLU,ÇEKMEKÖY,60.16,73.29,67.2
219,ELBASAN,ÇATALCA,100.5,92.09,97.35
