neighborhood_id,name,district,lat,lon,population
93,AŞIK VEYSEL,ESENYURT,41.0606995,28.674715,15543
94,AŞIKVEYSEL,ATAŞEHİR,41.003071,29.092949,12389
95,BAHÇEKÖY KEMER,SARIYER,41.170908,28.991077,2258
96,BAHÇEKÖY MERKEZ,SARIYER,41.181361,28.991478,3558
97,BAHÇEKÖY YENİMAHALLE,SARIYER,41.180006,28.993967,5041
98,BAHÇELİEVLER,BAHÇELİEVLER,41.004186,28.864478,56928
99,BAHÇELİEVLER,BÜYÜKÇEKMECE,41.010261,28.499405,4600
100,BAHÇELİEVLER,PENDİK,40.885377,29.235981,12627
101,BAHÇEŞEHİR 1. KISIM,BAŞAKŞEHİR,41.062516,28.689154,37997
102,BAHÇEŞEHİR 2. KISIM,BAŞAKŞEHİR,41.062736,28.684872,63770
103,BAHŞAYİŞ,ÇATALCA,41.111675,28.541533,398
104,BAKLACI,BEYKOZ,41.06545,29.145418,3260
105,BAKLALI,ARNAVUTKÖY,41.258374,28.653687,873
106,BALABAN,ARNAVUTKÖY,41.310734,28.612217,454
107,BALAT,FATİH,41.02691,28.950121,10855
108,BALIKYOLU,ESENYURT,41.037159,28.68867,29640
109,BALLICA,PENDİK,40.990458,29.401516,591
110,BALMUMCU,BEŞİKTAŞ,41.059354,29.014838,3044
111,BALTALİMANI,SARIYER,41.096973,29.049205,4978
112,BALİBEY,ŞİLE,41.176695,29.6162555,4197
113,BARBAROS,ATAŞEHİR,40.993682,29.096736,30487
114,BARBAROS,BAĞCILAR,41.028414999999995,28.83986,19786
115,BARBAROS,ÜSKÜDAR,41.014706,29.031712,16742
116,BARBAROS HAYRETTİN PAŞA,ESENYURT,41.020439,28.643062,28385
117,BARBAROS HAYRETTİN PAŞA,GAZİOSMANPAŞA,41.074863,28.88792,47603
118,BARIŞ,BEYLİKDÜZÜ,41.004653,28.654995,55725
119,BASINKÖY,BAKIRKÖY,40.984271,28.779587,5789
120,BATI,PENDİK,40.87766,29.230729,13891
121,BATTALGAZİ,ESENYURT,41.039966,28.657352,17733
122,BATTALGAZİ,SULTANBEYLİ,40.98175,29.268609,41182
123,BAĞLAR,BAĞCILAR,41.026091,28.828414,17077
124,BAĞLARBAŞI,GAZİOSMANPAŞA,41.06515,28.915595,29058
125,BAĞLARBAŞI,MALTEPE,40.925895,29.134249,41204
126,BAĞLARÇEŞME,ESENYURT,41.034002,28.675709,32537
127,BAŞAK,BAŞAKŞEHİR,41.101329,28.80481,71065
128,BAŞAK,ÇATALCA,41.331991,28.445735,414
129,BAŞAKŞEHİR,BAŞAKŞEHİR,41.106496,28.791808,72735
130,BAŞIBÜYÜK,MALTEPE,40.958821,29.148392,25659
131,BEBEK,BEŞİKTAŞ,41.081171999999995,29.0444775,4935
132,BEDRETTİN,BEYOĞLU,41.029607,28.969963,594
133,BEKİRLİ,SİLİVRİ,41.225812,28.300005,237
134,BELGRAT,ÇATALCA,41.378018,28.383955,411
135,BEREKETZADE,BEYOĞLU,41.02560025,28.97465075,369
136,BEYAZIT,FATİH,41.010714,28.9672185,45
137,BEYCİLER,SİLİVRİ,41.234021,28.113581,1380
138,BEYLERBEYİ,ÜSKÜDAR,41.042915,29.042996,5169
139,BEŞTELSİZ,ZEYTİNBURNU,41.000564,28.902806,20808
140,BEŞYOL,KÜÇÜKÇEKMECE,40.994911,28.79752,3865
141,BIÇKIDERE,ŞİLE,41.069709,29.476016,364
142,BOLLUCA,ARNAVUTKÖY,41.198995,28.765745,8496
143,BOSTAN,BEYOĞLU,41.037845,28.975104,1788
144,BOSTANCI,KADIKÖY,40.953914,29.096175,32478
145,BOYALIK,ARNAVUTKÖY,41.262247,28.627584,856
146,BOZGOCA,ŞİLE,41.141745,29.776142,135
147,BOZHANE,BEYKOZ,41.163864,29.271391,470
148,BOZKURT,ŞİŞLİ,41.051307,28.984037,9649
149,BOĞAZKÖY İSTİKLAL,ARNAVUTKÖY,41.180878,28.773206,13133
150,BUCAKLI,ŞİLE,41.118209,29.89018,400
151,BULGURLU,ÜSKÜDAR,41.016693,29.076989,30419
152,BURGAZADA,ADALAR,40.879641,29.068678,2025
153,BURHANİYE,ÜSKÜDAR,41.02867,29.058333,16981
154,BÜLBÜL,BEYOĞLU,41.038756,28.980285,2657
155,BÜYÜK KILIÇLI,SİLİVRİ,41.164135,28.189786,1273
156,BÜYÜK SİNEKLİ,SİLİVRİ,41.223856,28.210152,418
157,BÜYÜK ÇAVUŞLU,SİLİVRİ,41.238422,28.060304,3268
158,BÜYÜKBAKKALKÖY,MALTEPE,40.970899,29.198365,13311
159,BÜYÜKDERE,SARIYER,41.160311,29.039126,8192
