||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|İstanbul(Avcılar/Avcılar Bel./Üniversite Mah.)-40149|32302.0|
|İstanbul(Avcılar/Avcılar Bel./Yeşilkent Mah.)-40153|74003.0|
|İstanbul(Bağcılar/Bağcılar Bel./100. Yıl Mah.)-40176|44925.0|
|İstanbul(Bağcılar/Bağcılar Bel./15 Temmuz Mah.)-40169|49634.0|
|İstanbul(Bağcılar/Bağcılar Bel./Bağlar Mah.)-40155|17077.0|
|İstanbul(Bağcılar/Bağcılar Bel./Barbaros Mah.)-40157|19786.0|
|İstanbul(Bağcılar/Bağcılar Bel./Çınar Mah.)-40163|32526.0|
|İstanbul(Bağcılar/Bağcılar Bel./Demirkapı Mah.)-40171|54601.0|
|İstanbul(Bağcılar/Bağcılar Bel./Fatih Mah.)-40172|39414.0|
|İstanbul(Bağcılar/Bağcılar Bel./Fevzi Çakmak Mah.)-40173|32776.0|
|İstanbul(Bağcılar/Bağcılar Bel./Göztepe Mah.)-40175|40178.0|
|İstanbul(Bağcılar/Bağcılar Bel./Güneşli Mah.)-40168|44175.0|
|İstanbul(Bağcılar/Bağcılar Bel./Hürriyet Mah.)-40156|24973.0|
|İstanbul(Bağcılar/Bağcılar Bel./İnönü Mah.)-40159|22370.0|
|İstanbul(Bağcılar/Bağcılar Bel./Kazım Karabekir Mah.)-40158|26441.0|
|İstanbul(Bağcılar/Bağcılar Bel./Kemalpaşa Mah.)-40174|31131.0|
|İstanbul(Bağcılar/Bağcılar Bel./Kirazlı Mah.)-40166|39023.0|
|İstanbul(Bağcılar/Bağcılar Bel./Mahmutbey Mah.)-40170|25535.0|
|İstanbul(Bağcılar/Bağcılar Bel./Merkez Mah.)-40162|26590.0|
|İstanbul(Bağcılar/Bağcılar Bel./Sancaktepe Mah.)-40164|18984.0|
|İstanbul(Bağcılar/Bağcılar Bel./Yavuz Selim Mah.)-40165|26892.0|
|İstanbul(Bağcılar/Bağcılar Bel./Yenigün Mah.)-40161|20552.0|
|İstanbul(Bağcılar/Bağcılar Bel./Yenimahalle Mah.)-40167|34524.0|
|İstanbul(Bağcılar/Bağcılar Bel./Yıldıztepe Mah.)-40160|35528.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Bahçelievler Mah.)-40177|56928.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Çobançeşme Mah.)-40184|30107.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Cumhuriyet Mah.)-40181|37961.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Fevzi Çakmak Mah.)-40185|22087.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Hürriyet Mah.)-40187|42183.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Kocasinan Merkez Mah.)-40182|69725.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Şirinevler Mah.)-40178|51979.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Siyavuşpaşa Mah.)-40179|53704.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Soğanlı Mah.)-40180|61359.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Yenibosna Merkez Mah.)-40183|36301.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Zafer Mah.)-40186|76701.0|
|İstanbul(Bakırköy/Bakırköy Bel./Ataköy 1. Kısım Mah.)-40202|1550.0|
|İstanbul(Bakırköy/Bakırköy Bel./Ataköy 2-5-6. Kısım Mah.)-40194|14158.0|
|İstanbul(Bakırköy/Bakırköy Bel./Ataköy 3-4-11. Kısım Mah.)-40201|7685.0|
|İstanbul(Bakırköy/Bakırköy Bel./Ataköy 7-8-9-10. Kısım Mah.)-40196|25967.0|
|İstanbul(Bakırköy/Bakırköy Bel./Basınköy Mah.)-40200|5789.0|
|İstanbul(Bakırköy/Bakırköy Bel./Cevizlik Mah.)-40192|5074.0|
|İstanbul(Bakırköy/Bakırköy Bel./Kartaltepe Mah.)-40197|34375.0|
|İstanbul(Bakırköy/Bakırköy Bel./Osmaniye Mah.)-40188|22271.0|
|İstanbul(Bakırköy/Bakırköy Bel./Sakızağacı Mah.)-40191|8550.0|
|İstanbul(Bakırköy/Bakırköy Bel./Şenlikköy Mah.)-40199|27990.0|
|İstanbul(Bakırköy/Bakırköy Bel./Yenimahalle Mah.)-40190|6364.0|
|İstanbul(Bakırköy/Bakırköy Bel./Yeşilköy Mah.)-40189|24813.0|
|İstanbul(Bakırköy/Bakırköy Bel./Yeşilyurt Mah.)-40195|8257.0|
|İstanbul(Bakırköy/Bakırköy Bel./Zeytinlik Mah.)-40193|5170.0|
|İstanbul(Bakırköy/Bakırköy Bel./Zuhuratbaba Mah.)-40198|20191.0|
|İstanbul(Başakşehir/Başakşehir Bel./Altınşehir Mah.)-40598|29367.0|
|İstanbul(Başakşehir/Başakşehir Bel./Bahçeşehir 1. Kısım Mah.)-40871|37997.0|
|İstanbul(Başakşehir/Başakşehir Bel./Bahçeşehir 2. Kısım Mah.)-40872|63770.0|
|İstanbul(Başakşehir/Başakşehir Bel./Başak Mah.)-40357|71065.0|
|İstanbul(Başakşehir/Başakşehir Bel./Başakşehir Mah.)-40581|72735.0|
|İstanbul(Başakşehir/Başakşehir Bel./Güvercintepe Mah.)-40597|79017.0|
|İstanbul(Başakşehir/Başakşehir Bel./Kayabaşı Mah.)-40583|118479.0|
|İstanbul(Başakşehir/Başakşehir Bel./Şahintepe Mah.)-40584|31117.0|
|İstanbul(Başakşehir/Başakşehir Bel./Şamlar Mah.)-191991|1245.0|
|İstanbul(Başakşehir/Başakşehir Bel./Ziya Gökalp Mah.)-40585|31877.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Altıntepsi Mah.)-40207|29996.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Cevatpaşa Mah.)-40203|18739.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./İsmet Paşa Mah.)-40209|15048.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Kartaltepe Mah.)-40211|43635.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Kocatepe Mah.)-40212|20553.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Muratpaşa Mah.)-40213|33119.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Orta Mah.)-40204|15778.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Terazidere Mah.)-40206|15437.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Vatan Mah.)-40205|9674.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Yenidoğan Mah.)-40208|18545.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Yıldırım Mah.)-40210|52454.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Abbasağa Mah.)-40219|4054.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Akat Mah.)-40234|12089.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Arnavutköy Mah.)-40231|3371.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Balmumcu Mah.)-40223|3044.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Bebek Mah.)-40232|4935.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Cihannüma Mah.)-40217|3405.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Dikilitaş Mah.)-40221|14642.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Etiler Mah.)-40233|10290.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Gayrettepe Mah.)-40222|12701.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Konaklar Mah.)-40236|15699.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Kültür Mah.)-40229|4485.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Kuruçeşme Mah.)-40228|2791.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Levazım Mah.)-40226|6049.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Levent Mah.)-40235|2831.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Mecidiye Mah.)-40224|9486.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Muradiye Mah.)-40216|4493.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Nisbetiye Mah.)-40230|11004.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Ortaköy Mah.)-40225|9031.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Sinanpaşa Mah.)-40215|2207.0|
